Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
Kobi Simmons,CHA,"SG,Flx",561,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Askia Booker,(N/A),"SG,Flx",562,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamadou N'Diaye,(N/A),"C,Flx",563,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Borisa Simanic,(N/A),"PF,Flx",564,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Deng Adel,(N/A),"C,Flx",565,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Arron Afflalo,(N/A),"SG,SF,Flx",566,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Anderson,(N/A),"PF,C,Flx",567,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Beasley,(N/A),"SF,PF,Flx",568,MIA,MIA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dairis Bertans,(N/A),"SG,Flx",569,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Caroline,(N/A),"SF,Flx",570,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Clark,(N/A),"PG,SG,Flx",571,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Deyonta Davis,(N/A),"PF,Flx",572,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevon Duval,(N/A),"PG,Flx",573,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawun Evans,(N/A),"PG,Flx",574,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathias Lessort,(N/A),"PF,Flx",575,DAL,DAL,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
