Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
CJ Massinburg,(N/A),"PG,Flx",1063,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mangok Mathiang,CHA,"PF,C,Flx",1064,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakota Mathias,(N/A),"PG,Flx",1065,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
O.J. Mayo,(N/A),"PG,SG,Flx",1066,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
James Michael McAdoo,PHI,"PF,Flx",1067,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tahjere McCall,(N/A),"SG,Flx",1068,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik McCree,UTA,"SF,Flx",1069,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris McCullough,DET,"PF,Flx",1070,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
K.J. McDaniels,(N/A),"SF,Flx",1071,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
William McDowell-White,(N/A),"SG,Flx",1072,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitch McGary,(N/A),"PF,C,Flx",1073,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh McRoberts,DAL,"PF,C,Flx",1074,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jodie Meeks,(N/A),"SG,Flx",1075,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Fab Melo,DAL,"C,Flx",1076,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Miles,(N/A),"SF,Flx",1077,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Darko Milicic,BOS,"C,Flx",1078,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Miller,(N/A),"SG,SF,Flx",1079,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijah Millsap,(N/A),"SG,SF,Flx",1080,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Minnerath,CLE,"PF,Flx",1081,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Mitchell,(N/A),"PG,SG,Flx",1082,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Montero,DET,"SF,Flx",1083,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Moore,(N/A),"SF,Flx",1084,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Doral Moore,(N/A),"C,Flx",1085,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Moreland,(N/A),"PF,Flx",1086,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Morgan,MEM,"SG,Flx",1087,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Darius Morris,NO,"PG,SG,Flx",1088,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Morris,MIL,"SG,Flx",1089,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brock Motum,(N/A),"PF,Flx",1090,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Timofey Mozgov,(N/A),"C,Flx",1091,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Shabazz Muhammad,MIL,"SG,SF,Flx",1092,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mychal Mulder,(N/A),"PG,Flx",1093,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Mullens,(N/A),"PF,C,Flx",1094,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Murphy,(N/A),"SG,Flx",1095,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamady Ndiaye,(N/A),"C,Flx",1096,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Neal,(N/A),"PG,SG,Flx",1097,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jameer Nelson,(N/A),"PG,Flx",1098,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Nelson,(N/A),"SF,PF,Flx",1099,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Nevill,IND,"C,Flx",1100,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Landry Nnoko,(N/A),"C,Flx",1101,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andres Nocioni,PHI,"SF,PF,Flx",1102,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Nogueira,(N/A),"PF,C,Flx",1103,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Novak,MIL,"SF,PF,Flx",1104,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
James Nunnally,HOU,"SF,Flx",1105,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
JJ O'Brien,(N/A),"SF,Flx",1106,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny O'Bryant III,NY,"PF,Flx",1107,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukasz Obrzut,IND,"C,Flx",1108,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Ochefu,BOS,"C,Flx",1109,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Oden,(N/A),"C,Flx",1110,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Norense Odiase,(N/A),"C,Flx",1111,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamar Odom,NY,"SF,PF,Flx",1112,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Emeka Okafor,PHI,"C,Flx",1113,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mehmet Okur,POR,"C,Flx",1114,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuni Omot,(N/A),"SF,Flx",1115,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Arinze Onuaku,ORL,"PF,Flx",1116,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Romero Osby,ORL,"SF,PF,Flx",1117,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Yakuba Ouattara,BKN,"SG,Flx",1118,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bo Outlaw,ORL,"PF,Flx",1119,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Outlaw,(N/A),"SF,PF,Flx",1120,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Paige,(N/A),"PG,Flx",1121,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
James Palmer Jr.,(N/A),"SG,Flx",1122,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Palmer,WAS,"SG,SF,Flx",1123,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubu Palo,(N/A),"PG,Flx",1124,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgios Papagiannis,POR,"C,Flx",1125,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kostas Papanikolaou,DEN,"SF,PF,Flx",1126,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
L.J. Peak,BOS,"SG,Flx",1127,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Pekovic,MIN,"C,Flx",1128,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kleon Penn,(N/A),"C,Flx",1129,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Perkins,(N/A),"PG,Flx",1130,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
London Perrantes,(N/A),"PG,Flx",1131,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamar Peters,(N/A),"PG,Flx",1132,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarik Phillip,(N/A),"PG,Flx",1133,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mickael Pietrus,(N/A),"SG,SF,Flx",1134,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kavion Pippen,(N/A),"C,Flx",1135,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Plumlee,(N/A),"C,Flx",1136,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
James Posey,IND,"SG,SF,Flx",1137,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Preston,CLE,"SF,PF,Flx",1138,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Price,PHO,"PG,Flx",1139,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Prigioni,(N/A),"PG,SG,Flx",1140,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Quarterman,HOU,"PG,Flx",1141,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Quinn,CLE,"PG,SG,Flx",1142,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Miroslav Raduljica,MIN,"C,Flx",1143,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chasson Randle,(N/A),"PG,Flx",1144,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Shavlik Randolph,DEN,"PF,Flx",1145,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Darius Rice,CLE,"SF,PF,Flx",1146,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Richardson,NO,"SF,PF,Flx",1147,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence Roberts,(N/A),"SF,PF,Flx",1148,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Robinson,(N/A),"PG,SG,Flx",1149,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nate Robinson,NO,"PG,SG,Flx",1150,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Robinson,(N/A),"PF,C,Flx",1151,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon Rodgers,(N/A),"SF,PF,Flx",1152,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnum Rolle,(N/A),"PF,C,Flx",1153,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Rush,POR,"SG,SF,Flx",1154,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Orlando Sanchez,(N/A),"PF,Flx",1155,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Larry Sanders,CLE,"PF,C,Flx",1156,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Scott,(N/A),"PG,Flx",1157,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Shannon Scott,BKN,"SG,Flx",1158,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tornike Shengelia,CHI,"SF,PF,Flx",1159,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Sibert,(N/A),"SG,Flx",1160,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Silas,(N/A),"SG,Flx",1161,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
DeShawn Sims,BOS,"SF,Flx",1162,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Singler,(N/A),"SG,SF,Flx",1163,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
James Singleton,(N/A),"PF,Flx",1164,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Smith,NO,"PF,C,Flx",1165,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Smith,NO,"SF,PF,Flx",1166,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Scoochie Smith,CLE,"SG,Flx",1167,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Solomon,OKC,"PF,Flx",1168,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
James Southerland,(N/A),"SF,Flx",1169,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marreese Speights,(N/A),"PF,C,Flx",1170,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Stark,(N/A),"PG,Flx",1171,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Stephens,MEM,"SF,Flx",1172,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijah Stewart,IND,"SG,Flx",1173,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
David Stockton,(N/A),"PG,Flx",1174,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarnell Stokes,MEM,"PF,Flx",1175,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond Stone,(N/A),"C,Flx",1176,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Julyan Stone,(N/A),"SG,SF,Flx",1177,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodney Stuckey,IND,"PG,SG,Flx",1178,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasheed Sulaimon,(N/A),"SG,Flx",1179,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Sullinger,PHO,"PF,C,Flx",1180,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Sura,HOU,"PG,SG,Flx",1181,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ Taylor,(N/A),"PG,Flx",1182,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Donell Taylor,(N/A),"PG,SG,Flx",1183,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jermaine Taylor,(N/A),"SG,Flx",1184,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirza Teletovic,MIL,"SF,PF,Flx",1185,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Terrell,(N/A),"PG,Flx",1186,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Terry,(N/A),"PG,SG,Flx",1187,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Hasheem Thabeet,(N/A),"C,Flx",1188,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Adonis Thomas,(N/A),"SF,PF,Flx",1189,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Thomas,PHI,"SF,PF,Flx",1190,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Hollis Thompson,(N/A),"SG,SF,Flx",1191,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Thompson,(N/A),"SG,Flx",1192,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Thornton,BKN,"SG,SF,Flx",1193,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaal Tinsley,UTA,"PG,Flx",1194,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Tisdale,(N/A),"C,Flx",1195,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Tobey,CHA,"C,Flx",1196,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuki Togashi,(N/A),"PG,Flx",1197,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
J.P. Tokoto,NY,"SF,Flx",1198,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Axel Toupane,(N/A),"SG,SF,Flx",1199,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Trice II,(N/A),"SG,Flx",1200,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Beno Udrih,(N/A),"PG,Flx",1201,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Ulis,(N/A),"PG,Flx",1202,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Upshaw,(N/A),"C,Flx",1203,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod Uthoff,(N/A),"PF,Flx",1204,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Varejao,GS,"PF,C,Flx",1205,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Greivis Vasquez,BKN,"PG,SG,Flx",1206,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashad Vaughn,ORL,"SG,SF,Flx",1207,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Vinicius,MEM,"SF,PF,Flx",1208,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Voskuhl,(N/A),"C,Flx",1209,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Walden,(N/A),"PG,Flx",1210,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Walton,(N/A),"SF,Flx",1211,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Washburn,(N/A),"C,Flx",1212,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Washington,(N/A),"PF,C,Flx",1213,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
David Wear,SAC,"PF,Flx",1214,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
James Webb III,(N/A),"SF,Flx",1215,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Briante Weber,MIA,"PG,Flx",1216,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Webster,(N/A),"PG,Flx",1217,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Martell Webster,(N/A),"SG,SF,Flx",1218,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Westbrook,(N/A),"SG,Flx",1219,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew White III,(N/A),"SF,Flx",1220,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
James White,(N/A),"SG,SF,Flx",1221,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Whitehead,(N/A),"PG,SG,Flx",1222,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Wiggins,MIN,"SG,Flx",1223,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottie Wilbekin,(N/A),"PG,Flx",1224,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ Wilcox,(N/A),"SG,Flx",1225,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Wiley,BKN,"PG,Flx",1226,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Wilkerson,(N/A),"SF,PF,Flx",1227,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Deron Williams,(N/A),"PG,Flx",1228,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Williams,LAL,"SF,PF,Flx",1229,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Donell Williams,LAC,"PG,SG,Flx",1230,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Williams,SAC,"PG,Flx",1231,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Williams,(N/A),"SG,Flx",1232,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Wiltjer,TOR,"PF,Flx",1233,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Wise,(N/A),"PG,Flx",1234,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Todd Withers,(N/A),"PF,Flx",1235,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Witherspoon,(N/A),"SG,SF,Flx",1236,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Withey,DAL,"C,Flx",1237,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nate Wolters,UTA,"PG,Flx",1238,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Wood,(N/A),"SF,Flx",1239,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Loren Woods,CLE,"C,Flx",1240,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandan Wright,HOU,"PF,C,Flx",1241,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Wright,OKC,"SF,PF,Flx",1242,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorell Wright,(N/A),"SG,SF,Flx",1243,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Wright,(N/A),"SF,Flx",1244,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Wroten,(N/A),"PG,SG,Flx",1245,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Khalif Wyatt,(N/A),"PG,Flx",1246,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ding Yanyuhang,(N/A),"SF,Flx",1247,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabe York,(N/A),"PG,Flx",1248,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
James Young,MIL,"SG,Flx",1249,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Young,(N/A),"PG,SG,Flx",1250,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Patric Young,NO,"PF,Flx",1251,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Yue,(N/A),"SF,PF,Flx",1252,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Talib Zanna,(N/A),"PF,Flx",1253,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Zeisloft,IND,"PG,Flx",1254,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Wang Zhelin,(N/A),"C,Flx",1255,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Zimmerman Jr.,(N/A),"PF,Flx",1256,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Zipser,(N/A),"SF,PF,Flx",1257,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Maik Zirbes,(N/A),"C,Flx",1258,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
George de Paula,(N/A),"PG,Flx",1259,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Wilson,MIL,"PF,Flx",1260,POR,POR,,-0.5,-0.5,6%,0.80%,1,0,1,0,0,0,0,0,0,0,0,0,0
Isaiah Roby,OKC,"PF,Flx",1261,LAC,LAC,,-0.5,-0.5,5%,0.20%,1,0,1,0,0,0,0,0,0,0,0,0,0
Quinndary Weatherspoon,SA,"SG,Flx",1262,MIL,MIL,,-0.5,-0.5,3%,0.40%,1,0,1,0,0,0,0,0,0,0,0,0,0
Kevin Hervey,OKC,"SF,PF,Flx",1263,GSW,GSW,,-0.5,-0.25,2%,0.30%,2,0,1,0,0,0,0,0,0,0,0,0,0
Malcolm Miller,TOR,"PF,Flx",1264,FA,FA,,-0.5,-0.5,1%,0.20%,1,0,1,0,0,0,0,0,0,0,0,0,0
Daniel Gafford,CHI,"C,Flx",1265,UTA,UTA,,-1.5,-1.5,23%,1.90%,1,0,1,0,1,2,1,1,0,0,0,0,3
