"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","FGM","FGA","3PTM","FTM","FTA","PTS","OREB","DREB","AST","ST","BLK","TO"
"Jonny Flynn","DET","PG,G,Flx","809","FA","PHI Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gary Forbes","BKN","SG,G,SF,Flx","810","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Courtney Fortson","LAC","PG,SG,G,Flx","811","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Richie Frahm","LAC","SG,G,Flx","812","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamaal Franklin","DEN","SG,G,SF,Flx","813","FA","@PHO Mon 9:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trey Freeman","DET","PG,G,Flx","814","FA","PHI Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tony Gaffney","MEM","PF,Flx","815","FA","SA Mon 8:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sundiata Gaines","IND","PG,SG,G,Flx","816","FA","TOR Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hassani Gravett","(N/A)","PG,G,Flx","817","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Hamilton","(N/A)","SF,Flx","818","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dusty Hannahs","(N/A)","PG,G,Flx","819","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Harrison","(N/A)","PG,G,Flx","820","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stephan Hicks","IND","SG,G,Flx","821","FA","TOR Mon 7:00PM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"William Howard","(N/A)","SF,Flx","822","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Huestis","SA","SF,Flx","823","FA","@MEM Mon 8:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andre Ingram","LAL","SG,G,Flx","824","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stefan Jankovic","(N/A)","PF,Flx","825","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ognen Jaramaz","NY","PG,G,Flx","826","FA","WAS Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Livio Jean-Charles","(N/A)","SF,PF,Flx","827","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"B.J. Johnson","ORL","SF,Flx","828","FA","CHI Mon 7:00PM","0","0","0%","-0.1%","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Dakari Johnson","(N/A)","C,Flx","829","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peter Jok","PHO","PG,G,Flx","830","FA","DEN Mon 9:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"George King","(N/A)","SG,G,Flx","831","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"V.J. King","(N/A)","SG,G,Flx","832","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christ Koumadje","(N/A)","C,Flx","833","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shane Larkin","(N/A)","PG,G,Flx","834","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vic Law","(N/A)","PG,G,Flx","835","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Lofton","DET","SG,G,Flx","836","FA","PHI Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shawn Long","(N/A)","PF,C,Flx","837","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sheldon Mac","(N/A)","SG,G,Flx","838","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"J.P. Macura","(N/A)","SG,G,Flx","839","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dakota Mathias","(N/A)","PG,G,Flx","840","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kennedy Meeks","TOR","C,Flx","841","FA","@IND Mon 7:00PM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Mickey","(N/A)","PF,C,Flx","842","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eric Moreland","(N/A)","PF,Flx","843","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Donatas Motiejunas","(N/A)","PF,C,Flx","844","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lucas Nogueira","(N/A)","PF,C,Flx","845","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Nunnally","HOU","SF,Flx","846","FA","@SAC Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jermaine O'Neal","(N/A)","C,Flx","847","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Paul","SA","SG,G,Flx","848","FA","@MEM Mon 8:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L.J. Peak","BOS","SG,G,Flx","849","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kendrick Perkins","(N/A)","C,Flx","850","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alec Peters","(N/A)","PF,Flx","851","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Pineiro","(N/A)","SG,G,Flx","852","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tayshaun Prince","(N/A)","SF,PF,Flx","853","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Richards","(N/A)","PF,C,Flx","854","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brian Scalabrine","(N/A)","PF,C,Flx","855","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Renaldas Seibutis","LAC","PG,SG,G,Flx","856","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ramon Sessions","(N/A)","PG,SG,G,Flx","857","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jason Smith","NO","PF,C,Flx","858","FA","@POR Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Edy Tavares","(N/A)","C,Flx","859","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Milos Teodosic","LAC","PG,SG,G,Flx","860","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Emanuel Terry","MIA","PF,Flx","861","FA","UTA Mon 7:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Melo Trimble","MIN","PG,G,Flx","862","FA","@GS Mon 10:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sasha Vujacic","(N/A)","SG,G,Flx","863","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maalik Wayns","DAL","PG,SG,G,Flx","864","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Travis Wear","LAL","PF,Flx","865","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Okaro White","WAS","PF,Flx","866","FA","@NY Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lindell Wigginton","(N/A)","PG,G,Flx","867","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Metta World Peace","(N/A)","SF,PF,Flx","868","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rade Zagorac","(N/A)","SF,Flx","869","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ronnie Aguilar","(N/A)","C,Flx","870","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lance Allred","(N/A)","C,Flx","871","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Anderson","(N/A)","SG,G,SF,Flx","872","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Braian Angola-Rodas","(N/A)","SG,G,Flx","873","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darion Atkins","(N/A)","PF,Flx","874","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yudai Baba","(N/A)","SF,Flx","875","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ondrej Balvin","(N/A)","C,Flx","876","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Barnett","(N/A)","SF,Flx","877","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyus Battle","(N/A)","SG,G,Flx","878","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kavell Bigby-Williams","(N/A)","C,Flx","879","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bennie Boatwright","(N/A)","PF,Flx","880","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Bonner","(N/A)","PF,C,Flx","881","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phil Booth","(N/A)","PG,G,Flx","882","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carlos Boozer","(N/A)","PF,C,Flx","883","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Bosh","(N/A)","PF,C,Flx","884","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Brown","(N/A)","SF,Flx","885","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lorenzo Brown","TOR","PG,G,Flx","886","FA","@IND Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Markel Brown","(N/A)","SG,G,Flx","887","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deonte Burton","(N/A)","PG,G,Flx","888","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Calderon","(N/A)","PG,G,Flx","889","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Perrion Callandret","(N/A)","PG,G,Flx","890","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Camby","(N/A)","PF,C,Flx","891","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Devin Cannady","(N/A)","PG,G,Flx","892","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sampson Carter","(N/A)","PF,Flx","893","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tweety Carter","(N/A)","PG,G,Flx","894","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Warren Carter","(N/A)","SF,PF,Flx","895","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Casey","(N/A)","PF,Flx","896","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mario Chalmers","(N/A)","PG,SG,G,Flx","897","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joe Chealey","(N/A)","PG,G,Flx","898","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rakeem Christmas","(N/A)","PF,Flx","899","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Norris Cole","(N/A)","PG,SG,G,Flx","900","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Cooley","(N/A)","PF,C,Flx","901","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Copeland","(N/A)","SF,PF,Flx","902","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Costello","(N/A)","PF,Flx","903","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Cousin","(N/A)","C,Flx","904","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Crawford","(N/A)","PG,SG,G,Flx","905","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Will Cummings","(N/A)","PG,G,Flx","906","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"JamesOn Curry","(N/A)","PG,SG,G,Flx","907","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Olek Czyz","(N/A)","SF,Flx","908","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Samuel Dalembert","(N/A)","C,Flx","909","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luigi Datome","(N/A)","SG,G,SF,Flx","910","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baron Davis","(N/A)","PG,G,Flx","911","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Glen Davis","(N/A)","PF,C,Flx","912","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jon Davis","(N/A)","PG,G,Flx","913","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aubrey Dawkins","(N/A)","SG,G,Flx","914","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shawn Dawson","(N/A)","SF,Flx","915","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Malcolm Delaney","(N/A)","PG,SG,G,Flx","916","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stephen Dennis","(N/A)","PG,G,Flx","917","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Derrickson","(N/A)","PF,Flx","918","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Boris Diaw","(N/A)","PF,C,Flx","919","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ike Diogu","(N/A)","PF,C,Flx","920","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DeSagana Diop","(N/A)","C,Flx","921","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Juan Dixon","(N/A)","PG,SG,G,Flx","922","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Douglas-Roberts","(N/A)","SG,G,SF,Flx","923","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Dunleavy","(N/A)","SG,G,SF,Flx","924","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shane Edwards","(N/A)","SF,Flx","925","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Egbunu","(N/A)","C,Flx","926","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Eglseder","(N/A)","C,Flx","927","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nnanna Egwu","(N/A)","C,Flx","928","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Moses Ehambe","(N/A)","SG,G,SF,Flx","929","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Monta Ellis","(N/A)","PG,SG,G,Flx","930","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Perry Ellis","(N/A)","PF,Flx","931","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Melvin Ely","(N/A)","PF,C,Flx","932","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andre Emmett","(N/A)","SG,G,Flx","933","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kim English","(N/A)","PG,SG,G,Flx","934","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Ennis","(N/A)","PG,G,Flx","935","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Micheal Eric","(N/A)","PF,C,Flx","936","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremy Evans","(N/A)","SF,PF,Flx","937","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maurice Evans","(N/A)","SG,G,SF,Flx","938","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Reggie Evans","(N/A)","PF,C,Flx","939","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Patrick Ewing Jr.","(N/A)","SF,Flx","940","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christian Eyenga","(N/A)","SF,Flx","941","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarrid Famous","(N/A)","PF,C,Flx","942","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Courtney Fells","(N/A)","SG,G,Flx","943","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vashil Fernandez","(N/A)","C,Flx","944","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Fey","(N/A)","C,Flx","945","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Fields","(N/A)","SG,G,Flx","946","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Landry Fields","(N/A)","SG,G,SF,Flx","947","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Skyler Flatten","(N/A)","SG,G,Flx","948","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Fogg","(N/A)","PG,SG,G,Flx","949","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quincy Ford","(N/A)","SF,Flx","950","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Randy Foye","(N/A)","PG,SG,G,Flx","951","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jimmer Fredette","(N/A)","PG,SG,G,Flx","952","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joel Freeland","(N/A)","PF,C,Flx","953","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenny Gabriel","(N/A)","SF,Flx","954","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Abdul Gaddy","(N/A)","PG,G,Flx","955","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jakeenan Gant","(N/A)","SG,G,Flx","956","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jorge Garbajosa","TOR","SF,PF,C,Flx","957","FA","@IND Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Patricio Garino","(N/A)","SG,G,Flx","958","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Garnett","(N/A)","PF,C,Flx","959","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kaiser Gates","(N/A)","SF,Flx","960","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Gbinije","(N/A)","SF,Flx","961","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alonzo Gee","DEN","SG,G,SF,Flx","962","FA","@PHO Mon 9:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Georges-Hunt","BOS","SG,G,Flx","963","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Gibson","(N/A)","PG,SG,G,Flx","964","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Gist","SA","SF,PF,Flx","965","FA","@MEM Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drew Gooden","WAS","PF,C,Flx","966","FA","@NY Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vernon Goodridge","(N/A)","PF,Flx","967","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Archie Goodwin","POR","PG,SG,G,Flx","968","FA","NO Mon 10:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Danny Granger","(N/A)","SF,Flx","969","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Donte Grantham","(N/A)","SG,G,Flx","970","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rob Gray","HOU","PG,G,Flx","971","FA","@SAC Mon 10:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taj Gray","(N/A)","SF,PF,Flx","972","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Erick Green","UTA","PG,SG,G,Flx","973","FA","@MIA Mon 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Willie Green","(N/A)","SG,G,Flx","974","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eric Griffin","UTA","SF,Flx","975","FA","@MIA Mon 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jorge Gutierrez","(N/A)","PG,G,Flx","976","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaac Haas","(N/A)","C,Flx","977","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Haislip","SA","PF,Flx","978","FA","@MEM Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Donta Hall","(N/A)","SF,Flx","979","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Hall","WAS","SF,PF,Flx","980","FA","@NY Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaac Hamilton","CLE","SG,G,Flx","981","FA","ATL Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Johnny Hamilton","DET","C,Flx","982","FA","PHI Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Hamilton","(N/A)","PF,C,Flx","983","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A.J. Hammons","MIA","C,Flx","984","FA","UTA Mon 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Hansbrough","(N/A)","PF,C,Flx","985","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anfernee Hardaway","MIA","PG,SG,G,SF,PF,Flx","986","FA","UTA Mon 7:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Demonte Harper","(N/A)","PG,SG,G,Flx","987","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elias Harris","LAL","SF,PF,Flx","988","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jason Hart","MIN","PG,G,Flx","989","FA","@GS Mon 10:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Spencer Hawes","(N/A)","PF,C,Flx","990","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nigel Hayes","SAC","PF,Flx","991","FA","HOU Mon 10:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luther Head","SAC","PG,SG,G,Flx","992","FA","HOU Mon 10:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Reggie Hearn","(N/A)","SG,G,Flx","993","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gerald Henderson","PHI","SG,G,SF,Flx","994","FA","@DET Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Myke Henry","(N/A)","SF,Flx","995","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Hicks","(N/A)","PF,Flx","996","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Haywood Highsmith","(N/A)","SG,G,Flx","997","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ahmed Hill","(N/A)","SG,G,Flx","998","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Hill","(N/A)","PF,C,Flx","999","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amir Hinton","(N/A)","PG,G,Flx","1000","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Holland","CLE","SG,G,Flx","1001","FA","ATL Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aric Holman","(N/A)","PF,Flx","1002","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Holmes","(N/A)","PF,Flx","1003","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daulton Hommes","(N/A)","SF,Flx","1004","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Honeycutt","HOU","SF,Flx","1005","FA","@SAC Mon 10:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scotty Hopson","OKC","SG,G,Flx","1006","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
