fr_position,player,fr_2019,fr_2020,fr_2021,fr_2022,fr_2023,fr_2024,fr_rfa,fr_injured,fr_gleague,fr_intl,fr_team,trade_comp,,,,,,,,,fr_team_start2019
1-Jan,John Wall,29400000,30870000,32413500,,,,,1,0,0,DAL,DAL,,,,,,,,,DAL
1-Jan,Frank Jackson,1618520,,,,,,2020,0,0,0,DAL,DAL,,,,,,,,,DAL
2-Jan,Derrick White,1948080,3516284,,,,,2021,0,0,0,DAL,DAL,,,,,,,,,DAL
2-Feb,Anfernee Simons,1050000,1102500,,,,,2021,0,0,0,DAL,DAL,,,,,,,,,DAL
3-Feb,Klay Thompson,27750000,29137500,30594375,32124093.75,,,,0,0,0,DAL,DAL,,,,,,,,,DAL
3-Mar,Ignas Brazdeikis,898310,1517981,1782621,,,,2022,0,0,0,DAL,DAL,,,,,,,,,DAL
4-Mar,Kevin Durant,32248125,33860531.25,35553557.81,,,,,1,0,0,DAL,DAL,,,,,,,,,DAL
4-Apr,Jonah Bolden,1698450,1766550,1845000,,,,,0,0,0,DAL,DAL,,,,,,,,,CLE
4-Apr,Luka Samanic,2689920,2824320,2959080,4556983,,,2023,0,0,0,DAL,DAL,,,,,,,,,DAL
4-Apr,Moritz Wagner,2063520,2161920,3893618,,,,,0,0,0,DAL,DAL,,,,,,,,,DAL
5-Apr,Bobby Portis,5000000,5250000,5512500,5788125,,,,0,0,0,DAL,DAL,,,,,,,,,DAL
G,Nicolas Claxton,1000000,1050000,1102500,,,,2022,0,1,0,DAL,DAL,,,,,,,,,CLE
G,Admiral Schofield,1000000,1050000,1102500,,,,2022,0,0,0,DAL,DAL,,,,,,,,,DAL
INTL,Mathias Lessort,,,,,,,,0,0,1,DAL,DAL,,,,,,,,,DAL
1-Jan,Stephen Curry,27562500,28940625,30387656.25,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
1-Jan,Shaun Livingston,1102500,1157625,,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
1-Jan,Landry Shamet,945000,992250,,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
3-Feb,Terrance Ferguson,2475840,3944013,,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
3-Feb,Josh Hart,1934160,3491159,,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
3-Feb,Brandon Ingram,7265485,,,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
3-Feb,Caris LeVert,2625718,,,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
4-Mar,O.G. Anunoby,2281800,3872215,,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
4-Mar,Gary Clark,525000,551250,,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
5-Apr,Domantas Sabonis,3529555,,,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
5-May,Jonas Valanciunas,17617978,,,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
5-May,Tony Bradley,1962360,3542060,,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
5-May,Naz Reid,800000,840000,882000,,,,,0,0,0,DEN,DEN,,,,,,,,,DEN
