Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FG-,3PTM,FTM,FT-,PTS,OREB,DREB,AST,ST,BLK,TO
Deividas Sirvydis,(N/A),"SF,Flx",489,NJN,NJN,,0,0,3%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Quinndary Weatherspoon,SA,"SG,Flx",490,ORL,ORL,,0,0,3%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Faried,(N/A),"PF,C,Flx",491,FA,FA,,0,0,3%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Pau Gasol,(N/A),"PF,C,Flx",492,FA,FA,,0,0,2%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Marial Shayok,PHI,"SF,Flx",493,FA,FA,,0,0,2%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Darius Miller,NO,"SG,SF,Flx",494,FA,FA,,0,0,2%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Miye Oni,UTA,"SG,Flx",495,CHA,CHA,,0,0,2%,0%,3,0,0,0,0,0,0,1,0,0,0,1
Jeremy Lin,(N/A),"PG,SG,Flx",496,FA,FA,,0,0,2%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tyreke Evans,IND,"PG,SG,Flx",497,FA,FA,,0,0,2%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Hervey,OKC,"SF,PF,Flx",498,FA,FA,,0,0,2%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Justin Wright-Foreman,UTA,"PG,Flx",499,NJN,NJN,,0,0,2%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Adams,(N/A),"PG,Flx",500,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nick Young,DEN,"SG,SF,Flx",501,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Joe Johnson,(N/A),"SF,PF,Flx",502,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Payne,(N/A),"PG,Flx",503,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Josh Reaves,DAL,"SG,Flx",504,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Alexander,(N/A),"PF,Flx",505,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Devontae Cacok,LAL,"PF,Flx",506,WSH,WSH,,0,0,1%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Milutinov,SA,"C,Flx",507,NJN,NJN,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Issuf Sanon,WAS,"PG,Flx",508,DAL,DAL,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Trevon Bluiett,(N/A),"PG,Flx",509,MIA,MIA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Crawford,(N/A),"SG,SF,Flx",510,FA,FA,,0,0,1%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Hands,(N/A),"PG,Flx",511,MIL,MIL,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Joakim Noah,(N/A),"PF,C,Flx",512,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Cristiano Felicio,CHI,"C,Flx",513,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Lance Stephenson,(N/A),"SG,SF,Flx",514,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Abalde,(N/A),"SF,Flx",515,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
PJ Dozier,DEN,"PG,Flx",516,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Justin Jackson,ORL,"SF,PF,Flx",517,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Rayjon Tucker,(N/A),"SF,Flx",518,FA,FA,,0,0,1%,0.80%,0,0,0,0,0,0,0,0,0,0,0,0
Justin Anderson,(N/A),"SF,Flx",519,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jerian Grant,(N/A),"PG,SG,Flx",520,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Jerebko,(N/A),"SF,PF,Flx",521,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Yante Maten,BOS,"SF,Flx",522,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Zach Andrews,(N/A),"SF,PF,Flx",523,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Demetrius Jackson,(N/A),"PG,Flx",524,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Walt Lemon Jr.,(N/A),"SF,Flx",525,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Adam Hanga,SA,"SG,Flx",526,UTH,UTH,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
